articleLink,entity,wikiLink
https://www.stl.news/baikonur-kazakhstan-the-latest-nasa-exploring-flying-space-station-without-crew/187367/,Johnson Space Center,https://en.wikipedia.org/wiki/Johnson_Space_Center
https://www.stl.news/baikonur-kazakhstan-the-latest-nasa-exploring-flying-space-station-without-crew/187367/,NASA,https://en.wikipedia.org/wiki/NASA
https://www.theverge.com/2018/10/11/17963872/nasa-international-space-station-soyuz-launch-failure,International Space Station,https://en.wikipedia.org/wiki/International_Space_Station
https://www.theverge.com/2018/10/11/17963872/nasa-international-space-station-soyuz-launch-failure,Soyuz (spacecraft),https://en.wikipedia.org/wiki/Soyuz_(spacecraft)
https://www.theverge.com/2018/10/11/17963872/nasa-international-space-station-soyuz-launch-failure,NASA,https://en.wikipedia.org/wiki/NASA
https://www.space.com/42101-soyuz-rocket-launch-failure-abort-landing-photos-expedition57.html,List of Administrators and Deputy Administrators of NASA,https://en.wikipedia.org/wiki/List_of_Administrators_and_Deputy_Administrators_of_NASA
https://www.space.com/42101-soyuz-rocket-launch-failure-abort-landing-photos-expedition57.html,Soyuz MS-10,https://en.wikipedia.org/wiki/Soyuz_MS-10
https://www.space.com/42101-soyuz-rocket-launch-failure-abort-landing-photos-expedition57.html,Nick Hague,https://en.wikipedia.org/wiki/Nick_Hague
https://www.space.com/42101-soyuz-rocket-launch-failure-abort-landing-photos-expedition57.html,September 26,https://en.wikipedia.org/wiki/September_26
https://www.space.com/42101-soyuz-rocket-launch-failure-abort-landing-photos-expedition57.html,Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
https://www.space.com/42101-soyuz-rocket-launch-failure-abort-landing-photos-expedition57.html,NASA,https://en.wikipedia.org/wiki/NASA
https://www.bizjournals.com/pittsburgh/news/2018/10/11/another-nasa-contract-with-astrobotic-could-mean.html,Astrobotic Technology,https://en.wikipedia.org/wiki/Astrobotic_Technology
https://www.bizjournals.com/pittsburgh/news/2018/10/11/another-nasa-contract-with-astrobotic-could-mean.html,NASA,https://en.wikipedia.org/wiki/NASA
https://readingeagle.com/money/article/enersys-puts-battery-on-nasa-sun-probe,Parker Solar Probe,https://en.wikipedia.org/wiki/Parker_Solar_Probe
https://readingeagle.com/money/article/enersys-puts-battery-on-nasa-sun-probe,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
https://readingeagle.com/money/article/enersys-puts-battery-on-nasa-sun-probe,EnerSys,https://en.wikipedia.org/wiki/EnerSys
https://readingeagle.com/money/article/enersys-puts-battery-on-nasa-sun-probe,NASA,https://en.wikipedia.org/wiki/NASA
https://www.msn.com/en-us/news/technology/our-toehold-in-space-is-at-extreme-risk-russias-rocket-failure-leaves-nasa-astronauts-with-no-way-to-get-into-orbit/ar-BBOfuiB,Soyuz (rocket family),https://en.wikipedia.org/wiki/Soyuz_(rocket_family)
https://www.msn.com/en-us/news/technology/our-toehold-in-space-is-at-extreme-risk-russias-rocket-failure-leaves-nasa-astronauts-with-no-way-to-get-into-orbit/ar-BBOfuiB,Roscosmos,https://en.wikipedia.org/wiki/Roscosmos
https://www.msn.com/en-us/news/technology/our-toehold-in-space-is-at-extreme-risk-russias-rocket-failure-leaves-nasa-astronauts-with-no-way-to-get-into-orbit/ar-BBOfuiB,Russia,https://en.wikipedia.org/wiki/Russia
https://www.msn.com/en-us/news/technology/our-toehold-in-space-is-at-extreme-risk-russias-rocket-failure-leaves-nasa-astronauts-with-no-way-to-get-into-orbit/ar-BBOfuiB,Earth,https://en.wikipedia.org/wiki/Earth
https://www.msn.com/en-us/news/technology/our-toehold-in-space-is-at-extreme-risk-russias-rocket-failure-leaves-nasa-astronauts-with-no-way-to-get-into-orbit/ar-BBOfuiB,NASA,https://en.wikipedia.org/wiki/NASA
https://www.technologyreview.com/the-download/612260/astronauts-make-emergency-landing-on-way-to-iss-after-soyuz-rocket-malfunctions/,Soyuz (rocket family),https://en.wikipedia.org/wiki/Soyuz_(rocket_family)
https://www.technologyreview.com/the-download/612260/astronauts-make-emergency-landing-on-way-to-iss-after-soyuz-rocket-malfunctions/,Nick Hague,https://en.wikipedia.org/wiki/Nick_Hague
https://www.technologyreview.com/the-download/612260/astronauts-make-emergency-landing-on-way-to-iss-after-soyuz-rocket-malfunctions/,Roscosmos,https://en.wikipedia.org/wiki/Roscosmos
https://www.technologyreview.com/the-download/612260/astronauts-make-emergency-landing-on-way-to-iss-after-soyuz-rocket-malfunctions/,Earth,https://en.wikipedia.org/wiki/Earth
https://www.technologyreview.com/the-download/612260/astronauts-make-emergency-landing-on-way-to-iss-after-soyuz-rocket-malfunctions/,NASA,https://en.wikipedia.org/wiki/NASA
https://blogs.nasa.gov/hurricanes/2018/10/11/luban-north-indian-ocean-2018/,Arabian Sea,https://en.wikipedia.org/wiki/Arabian_Sea
