articleLink,phrase
http://news.trust.org/item/20181011094540-t15vh/,spacecraft
http://news.trust.org/item/20181011094540-t15vh/,emergency landing
http://news.trust.org/item/20181011094540-t15vh/,mid-air failure
http://news.trust.org/item/20181011094540-t15vh/,Reuters
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,students
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,NASA Data
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,Technology
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,disciplines of STEM
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,careers
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,resources
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,Earth Systems missions
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,Engineering
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,Science
https://mynasadata.larc.nasa.gov/basic-page/about-website,processed data
https://mynasadata.larc.nasa.gov/basic-page/about-website,students access NASA data
https://mynasadata.larc.nasa.gov/basic-page/about-website,mapped visualizations
https://mynasadata.larc.nasa.gov/basic-page/about-website,teachers
https://mynasadata.larc.nasa.gov/basic-page/about-website,animations
https://mynasadata.larc.nasa.gov/basic-page/about-website,pre-generated graphs
https://mynasadata.larc.nasa.gov/basic-page/about-website,online resources
https://mynasadata.larc.nasa.gov/basic-page/about-website,MND
https://mynasadata.larc.nasa.gov/basic-page/about-website,NGSS phenomena
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,Apollo crew
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,moon landing
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,President Kennedy’s deadline
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,s Wally Schirra
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,NASA
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,Donn Eisele
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,months
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,space
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,NASA astronaut Nick Hague
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,Russian cosmonaut Alexey Ovchinin
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,minutes
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,crew
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,Kazakhstan’s Baikonur Cosmodrome
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,blastoff
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,automatic abort
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,earth
https://www.marketwatch.com/story/russian-rocket-launch-failure-could-hinder-future-us-space-missions-2018-10-11?siteid=bigcharts&dist=bigcharts,Soyuz booster
https://ktla.com/2018/10/11/l-a-man-who-contracted-with-nasa-pleads-guilty-to-hacking-womens-online-accounts-threatening-them-to-obtain-nude-photos/,women
